record_id,title,authors,year,keywords,citations
R1,Study on Behavioral Modeling 1,Author 1,2023,mindfulness;stress;burnout;wellbeing,3
R2,Study on Behavioral Modeling 2,Author 2,2023,mindfulness;stress;burnout;wellbeing,6
R3,Study on Behavioral Modeling 3,Author 3,2023,mindfulness;stress;burnout;wellbeing,9
R4,Study on Behavioral Modeling 4,Author 4,2023,mindfulness;stress;burnout;wellbeing,12
R5,Study on Behavioral Modeling 5,Author 5,2023,mindfulness;stress;burnout;wellbeing,15
R6,Study on Behavioral Modeling 6,Author 6,2023,mindfulness;stress;burnout;wellbeing,18
R7,Study on Behavioral Modeling 7,Author 7,2023,mindfulness;stress;burnout;wellbeing,21
R8,Study on Behavioral Modeling 8,Author 8,2023,mindfulness;stress;burnout;wellbeing,24
R9,Study on Behavioral Modeling 9,Author 9,2023,mindfulness;stress;burnout;wellbeing,27
R10,Study on Behavioral Modeling 10,Author 10,2023,mindfulness;stress;burnout;wellbeing,30
R11,Study on Behavioral Modeling 11,Author 11,2023,mindfulness;stress;burnout;wellbeing,33
R12,Study on Behavioral Modeling 12,Author 12,2023,mindfulness;stress;burnout;wellbeing,36
R13,Study on Behavioral Modeling 13,Author 13,2023,mindfulness;stress;burnout;wellbeing,39
R14,Study on Behavioral Modeling 14,Author 14,2023,mindfulness;stress;burnout;wellbeing,42
R15,Study on Behavioral Modeling 15,Author 15,2023,mindfulness;stress;burnout;wellbeing,45
R16,Study on Behavioral Modeling 16,Author 16,2023,mindfulness;stress;burnout;wellbeing,48
R17,Study on Behavioral Modeling 17,Author 17,2023,mindfulness;stress;burnout;wellbeing,51
R18,Study on Behavioral Modeling 18,Author 18,2023,mindfulness;stress;burnout;wellbeing,54
R19,Study on Behavioral Modeling 19,Author 19,2023,mindfulness;stress;burnout;wellbeing,57
R20,Study on Behavioral Modeling 20,Author 20,2023,mindfulness;stress;burnout;wellbeing,60
R21,Study on Behavioral Modeling 21,Author 21,2023,mindfulness;stress;burnout;wellbeing,63
R22,Study on Behavioral Modeling 22,Author 22,2023,mindfulness;stress;burnout;wellbeing,66
R23,Study on Behavioral Modeling 23,Author 23,2023,mindfulness;stress;burnout;wellbeing,69
R24,Study on Behavioral Modeling 24,Author 24,2023,mindfulness;stress;burnout;wellbeing,72
R25,Study on Behavioral Modeling 25,Author 25,2023,mindfulness;stress;burnout;wellbeing,75
R26,Study on Behavioral Modeling 26,Author 26,2023,mindfulness;stress;burnout;wellbeing,78
R27,Study on Behavioral Modeling 27,Author 27,2023,mindfulness;stress;burnout;wellbeing,81
R28,Study on Behavioral Modeling 28,Author 28,2023,mindfulness;stress;burnout;wellbeing,84
R29,Study on Behavioral Modeling 29,Author 29,2023,mindfulness;stress;burnout;wellbeing,87
R30,Study on Behavioral Modeling 30,Author 30,2023,mindfulness;stress;burnout;wellbeing,90
R31,Study on Behavioral Modeling 31,Author 31,2023,mindfulness;stress;burnout;wellbeing,93
R32,Study on Behavioral Modeling 32,Author 32,2023,mindfulness;stress;burnout;wellbeing,96
