participant_id,gender,age,education,tenure_years,mind_1,mind_2,mind_3,mind_4,mind_5,flex_1,flex_2,flex_3,flex_4,flex_5,well_1,well_2,well_3,well_4,well_5,mindfulness,psychological_flexibility,occupational_wellbeing
SUB-001,1,51,1,12,4,4,3,5,3,3,4,3,3,4,4,4,4,3,4,3.9,3.56,3.66
SUB-002,1,33,1,13,4,4,4,3,3,4,4,4,3,5,4,4,4,4,5,3.48,3.91,4.35
SUB-003,2,54,2,14,4,4,3,4,4,5,5,5,5,4,5,3,4,4,4,4.01,4.66,3.82
SUB-004,1,24,3,20,5,5,4,4,4,5,5,5,4,4,5,4,5,5,5,4.24,4.76,5.0
SUB-005,2,36,2,18,4,4,3,3,4,3,2,2,1,3,3,3,4,3,3,3.45,2.06,3.07
SUB-006,1,42,1,6,2,3,4,4,4,4,4,3,4,3,3,3,3,3,2,3.56,3.78,2.89
SUB-007,2,44,2,11,5,5,3,5,4,5,5,4,5,4,4,4,3,5,4,4.53,4.8,3.85
SUB-008,2,33,3,2,4,5,5,4,4,3,3,4,3,4,3,2,3,3,4,4.59,3.59,2.84
SUB-009,2,49,2,23,4,3,4,3,3,3,4,4,3,4,4,3,3,4,3,3.55,3.69,3.5
SUB-010,1,25,3,19,4,3,4,4,4,5,3,4,3,4,4,3,4,4,4,3.7,3.69,3.61
SUB-011,1,39,2,19,3,4,3,3,3,2,2,3,4,2,3,3,4,3,3,3.3,2.44,3.42
SUB-012,1,50,2,5,3,3,3,4,4,4,3,3,4,3,4,3,4,4,3,3.24,3.61,3.81
SUB-013,2,51,2,19,4,2,4,4,4,2,2,3,2,2,3,3,3,3,3,3.39,2.4,2.89
SUB-014,1,43,1,2,2,3,3,2,2,1,2,3,3,1,3,1,3,3,2,2.28,1.8,2.2
SUB-015,2,38,1,10,2,2,3,2,3,3,3,3,3,3,2,3,2,3,2,2.2,3.12,2.22
SUB-016,2,42,2,2,3,3,3,3,4,1,2,4,2,3,4,4,3,3,3,3.01,2.54,3.26
SUB-017,1,28,1,11,4,3,3,3,2,4,4,3,4,5,4,5,4,5,3,2.89,4.15,4.36
SUB-018,2,41,3,18,4,4,4,4,4,3,2,3,3,4,2,3,3,4,4,4.09,2.9,3.0
SUB-019,1,27,3,24,2,3,3,4,3,3,2,2,3,3,4,3,3,4,3,2.91,2.68,3.25
SUB-020,1,25,2,15,3,2,3,2,2,3,3,3,3,3,4,2,4,4,4,2.22,2.79,3.47
SUB-021,2,23,1,9,5,5,5,4,5,5,4,4,5,5,3,2,4,4,4,4.69,4.49,3.55
SUB-022,2,37,1,23,3,3,2,3,5,2,3,3,3,4,3,4,4,4,3,3.33,2.89,3.44
SUB-023,2,56,1,19,3,4,4,4,3,3,3,5,4,3,4,4,4,4,3,3.75,3.69,3.91
SUB-024,1,57,2,9,3,3,3,2,2,4,4,3,2,2,3,4,4,3,2,2.42,3.21,2.99
SUB-025,1,47,2,3,3,3,3,3,3,4,3,3,2,2,3,2,3,3,2,3.1,2.64,2.77
SUB-026,2,46,3,21,4,4,3,4,4,4,4,3,3,4,3,3,3,1,2,3.66,3.43,2.23
SUB-027,2,34,2,9,3,2,3,4,3,4,4,3,4,3,3,4,2,3,3,3.15,3.39,2.91
SUB-028,2,40,3,14,4,4,4,3,5,4,3,4,2,4,4,4,4,3,4,3.84,3.53,3.96
SUB-029,1,37,3,19,3,3,3,2,2,3,4,4,4,3,4,4,3,4,4,2.79,3.77,3.7
SUB-030,2,38,1,7,3,4,4,4,4,3,3,3,4,2,2,3,4,3,2,3.9,2.91,2.71
SUB-031,1,49,3,16,4,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3.39,3.29,3.05
SUB-032,1,30,2,16,4,5,4,5,5,5,5,3,3,4,5,4,4,4,4,4.42,4.2,4.34
SUB-033,2,47,1,1,4,3,3,2,5,5,5,4,4,3,5,3,3,3,4,3.24,4.01,3.44
SUB-034,1,39,2,4,3,3,3,3,2,2,3,3,2,3,2,3,3,3,2,2.62,2.73,2.69
SUB-035,2,51,1,4,4,4,5,3,4,5,4,4,4,5,4,3,4,4,4,4.14,4.53,3.94
SUB-036,1,30,2,7,3,2,3,3,3,2,2,2,2,2,2,2,2,3,4,2.9,1.85,2.7
SUB-037,1,37,2,8,3,3,4,4,3,3,3,4,4,3,4,4,3,3,3,3.23,3.32,3.18
SUB-038,2,49,2,17,1,2,3,2,2,3,3,2,3,3,3,3,2,3,3,2.15,2.91,2.96
SUB-039,2,29,2,5,2,3,2,2,3,4,2,3,3,3,5,4,4,3,4,2.23,3.11,4.18
SUB-040,2,25,2,7,4,5,4,4,3,4,5,4,2,2,3,3,3,4,5,3.87,3.52,3.47
SUB-041,2,51,2,20,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3.79,3.79,3.49
SUB-042,2,46,2,20,5,4,4,4,3,3,4,5,3,4,3,4,3,3,3,3.84,3.92,3.42
SUB-043,2,25,2,4,3,3,4,5,3,3,3,2,3,3,3,3,3,4,4,3.69,2.69,3.28
SUB-044,2,42,1,6,3,4,4,2,4,4,4,4,3,4,5,5,4,5,5,3.54,3.95,4.66
SUB-045,1,37,2,7,3,2,3,3,2,2,3,3,3,3,1,2,2,3,2,2.79,3.0,2.17
SUB-046,2,47,1,18,4,3,4,3,3,3,3,3,4,3,3,2,4,3,3,3.21,3.31,2.92
SUB-047,1,52,2,5,4,4,3,3,3,4,4,4,4,3,3,4,3,4,4,3.55,3.71,3.41
SUB-048,2,36,2,20,5,4,4,3,4,3,3,4,4,4,4,5,5,3,5,3.79,3.47,4.24
SUB-049,2,29,2,3,4,4,4,4,4,4,4,4,4,5,5,4,3,4,4,3.88,4.38,4.12
SUB-050,1,39,2,7,3,3,2,3,3,3,3,2,3,2,3,3,2,3,2,2.66,2.76,2.69
SUB-051,2,42,3,22,4,2,3,4,4,4,2,3,4,3,3,4,3,4,3,3.19,3.01,3.3
SUB-052,2,31,2,14,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3.39,2.99,3.21
SUB-053,1,44,3,7,3,3,3,2,3,3,3,4,4,4,4,4,3,4,3,2.62,3.41,3.42
SUB-054,2,24,2,5,4,3,4,4,4,4,5,5,4,4,4,3,4,4,4,4.0,4.24,3.69
SUB-055,2,46,1,22,4,4,3,3,4,4,4,4,3,3,3,4,4,4,5,3.69,3.75,3.91
SUB-056,1,30,1,5,4,5,4,4,4,4,3,4,3,3,4,4,4,4,3,4.4,3.31,3.62
SUB-057,2,33,2,23,3,3,3,3,5,4,4,3,4,4,2,3,4,2,4,3.52,4.02,2.84
SUB-058,1,35,1,2,4,4,3,3,4,3,2,3,3,4,3,4,3,4,3,3.5,3.13,3.54
SUB-059,2,39,2,21,4,5,4,2,3,3,4,4,4,4,4,4,4,4,4,3.49,3.7,4.13
SUB-060,2,30,2,22,5,5,5,4,3,4,3,4,3,4,4,3,4,4,4,4.54,3.43,3.91
SUB-061,2,43,2,6,3,4,2,3,3,3,3,3,4,3,4,4,3,3,4,3.12,3.08,3.77
SUB-062,1,40,2,15,3,4,3,4,4,3,5,4,3,4,4,4,5,5,5,3.72,3.64,4.38
SUB-063,2,52,2,21,2,3,2,3,3,4,3,3,4,3,3,4,3,4,4,2.7,3.56,3.5
SUB-064,2,40,2,10,2,2,2,2,3,3,3,4,2,4,3,3,3,3,3,2.32,3.34,3.16
SUB-065,1,53,2,23,4,4,4,4,4,4,4,5,5,4,5,5,5,4,5,4.16,4.6,4.94
